"Whatsapp_Date" "Message"
"10/08/17 23.41" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 10 agustus 2017, pkl. 23.40 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 00.15 wita di wilayah kab. luwu utara dan kota palopo. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 02.30 wita.  *prakirawan - bmkg makassar*"
"11/08/17 15.25" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 11 agustus 2017, pkl. 15.20 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 16.00 wita di wilayah kab. luwu utara, kab. luwu timur *dan dapat meluas* ke wilayah kota palopo, kab. luwu, kab. toraja utara, dan kab. tana toraja. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 18.00 wita.  *prakirawan - bmkg makassar*"
"11/08/17 17.51" "*update peringatan dini cuaca wilayah sulawesi selatan tgl. 11 agustus 2017, pkl. 17.50 wita*. masih berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 18.20 wita di wilayah kab. luwu utara, kab. luwu timur, kab. luwu *dan dapat meluas* ke wilayah kab. wajo, kab. sidrap, dan kab. bone. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 20.00 wita.  *prakirawan - bmkg makassar*"
"11/08/17 19.56" "*update peringatan dini cuaca wilayah sulawesi selatan tgl. 11 agustus 2017, pkl. 19.50 wita*. masih berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 20.20 wita di wilayah kab. wajo, kab. bone, kab. sidrap *dan dapat meluas* ke wilayah kab. luwu, kab. enrekang, kab. soppeng, dan kab. barru. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 22.30 wita.  *prakirawan - bmkg makassar*"
"11/08/17 21.23" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 11 agustus 2017, pkl. 21.20 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 21.40 wita di wilayah kab. luwu utara, kota palopo dan *dan dapat meluas* ke wilayah kab. toraja utara, dan kab. tana toraja. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 23.30 wita.  *prakirawan - bmkg makassar*"
"11/08/17 22.26" "*update peringatan dini cuaca wilayah sulawesi selatan tgl. 11 agustus 2017, pkl. 22.20 wita*. masih berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 22.40 wita di wilayah kab. luwu utara, kota palopo, kab. toraja utara, kab. soppeng, kab. bone, kab. barru, *dan dapat meluas* ke wilayah kab. tana toraja, kab. luwu, kab. pinrang, kab. enrekang, kab. pangkep, kab. sidrap, kab. wajo, dan kab. sinjai. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 01.00 wita.  *prakirawan - bmkg makassar*"
"12/08/17 00.47" "*update peringatan dini cuaca wilayah sulawesi selatan tgl. 12 agustus 2017, pkl. 00.40 wita*. masih berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 01.00 wita di wilayah kab. luwu utara, kota palopo, kab. toraja utara, kab. barru, kab. pangkep, *dan dapat meluas* ke wilayah kab. tana toraja, kab. soppeng, kab. maros, dan kab. bulukumba. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 03.00 wita.  *prakirawan - bmkg makassar*"
"12/08/17 04.53" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 12 agustus 2017, pkl. 04.40 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 05.10 wita di wilayah kab. luwu utara, kota palopo, kab. toraja utara, dan *dan dapat meluas* ke wilayah kab. tana toraja, dan kab. luwu. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 07.00 wita.  *prakirawan - bmkg makassar*"
"18/08/17 20.46" "*update peringatan dini cuaca wilayah sulawesi selatan tgl. 18 agustus 2017, pkl. 20.40 wita*. masih berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 21.00 wita di wilayah kab. bone, kab. sinjai, kab. bulukumba. dan *dan dapat meluas* ke wilayah kab. gowa, kab. bantaeng dan kab. jeneponto. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 23.00 wita. *prakirawan - bmkg makassar*"
"23/08/17 06.03" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 23 agustus 2017, pkl. 06.00 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 06.30 wita di wilayah kab. luwu timur. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 08.00 wita.  *prakirawan - bmkg makassar*"
"23/08/17 09.48" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 23 agustus 2017, pkl. 09.30 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 10.00 wita di wilayah kab. luwu timur, dan *dan dapat meluas* ke wilayah kab. luwu, kab. enrekang, kab. luwu utara, dan kota palopo. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 12.00 wita.  *prakirawan - bmkg makassar*"
"25/08/17 03.46" "*peringatan dini cuaca wilayah sulawesi selatan tgl. 25 agustus 2017, pkl. 03.20 wita*. berpotensi terjadi hujan dengan intensitas sedang-lebat pada pkl. 03.50 wita di wilayah kota palopo *dan dapat meluas* ke wilayah kab. toraja utara, dan kab. tana toraja, kab. luwu, kab. pinrang dan kab. enrekang. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 06.00 wita.  *prakirawan - bmkg makassar*"
